navn,antal,ekstra,pris,kommentar
Store flade tallerkener,60,20,40
Dybe tallerkener,60,15,40
Frokosttallerkener,60,20,40
Salt & peber sæt,11,,40,"11 salt,11 peber"
Sovseskåle med underskål/hvide,9,,50
Kartoffelskåle/firkantede,4 + 3,,100,3 diverse st.
Ovale skåle/rillet,5,,100
Fade,1 + 1,,100
Kagetallerkener,60,20,40
Kaffekopper,60,20,40
Underkopper,60,20,40
Flødekander,8,,40
Mælkekander,4,,80,"0,5l"
Sukkerskåle,8,,40
Store glasskåle,3,,60
Mellem store glasskåle,6,,50
Medium små skåle,15,,40
Små glasskåle,8,,40
Små Atelier hvide,4,,30,(små skåle)
